"","filename","sti","ai","pi","si","nrbs"
"53","toy_example_3.RDa",1,1,2,3,7.3506829962062
"54","toy_example_3.RDa",1,1,2,4,7.33748438274598
"55","toy_example_3.RDa",1,1,2,5,7.34270161467463
"56","toy_example_3.RDa",1,1,2,6,7.35049634982845
"57","toy_example_3.RDa",1,1,2,7,7.34746106985229
"58","toy_example_3.RDa",1,1,2,8,7.35367234112023
"59","toy_example_3.RDa",1,1,2,9,7.34893468617296
"60","toy_example_3.RDa",1,1,2,10,7.3448970286957
"61","toy_example_3.RDa",1,2,1,1,7.30563295770184
"62","toy_example_3.RDa",1,2,1,2,7.3203309133414
"63","toy_example_3.RDa",1,2,1,3,7.31621306896227
"64","toy_example_3.RDa",1,2,1,4,7.31144592593866
"65","toy_example_3.RDa",1,2,1,5,7.33045777050953
"66","toy_example_3.RDa",1,2,1,6,7.31738056165142
"67","toy_example_3.RDa",1,2,1,7,7.33403187291987
"68","toy_example_3.RDa",1,2,1,8,7.31785920445455
"69","toy_example_3.RDa",1,2,1,9,7.31225338658382
"70","toy_example_3.RDa",1,2,1,10,7.31297729317039
"71","toy_example_3.RDa",1,2,2,1,7.30732437924971
"72","toy_example_3.RDa",1,2,2,2,7.32549392640815
"73","toy_example_3.RDa",1,2,2,3,7.32057071529188
"74","toy_example_3.RDa",1,2,2,4,7.30785442239192
"75","toy_example_3.RDa",1,2,2,5,7.33449539263035
"76","toy_example_3.RDa",1,2,2,6,7.3257443223068
"77","toy_example_3.RDa",1,2,2,7,7.30914912531226
"78","toy_example_3.RDa",1,2,2,8,7.31597952665341
"79","toy_example_3.RDa",1,2,2,9,7.32233976864792
"80","toy_example_3.RDa",1,2,2,10,7.33187520301322
"81","toy_example_3.RDa",2,1,1,1,7.32266151628303
"82","toy_example_3.RDa",2,1,1,2,7.32695397563387
"83","toy_example_3.RDa",2,1,1,3,7.33217742217897
"84","toy_example_3.RDa",2,1,1,4,7.32672521943395
"85","toy_example_3.RDa",2,1,1,5,7.32503948242563
"86","toy_example_3.RDa",2,1,1,6,7.33142925921726
"87","toy_example_3.RDa",2,1,1,7,7.33554784001221
"88","toy_example_3.RDa",2,1,1,8,7.32856773123535
"89","toy_example_3.RDa",2,1,1,9,7.33028363098458
"90","toy_example_3.RDa",2,1,1,10,7.32627062299398
"91","toy_example_3.RDa",2,1,2,1,7.31602909847949
"92","toy_example_3.RDa",2,1,2,2,7.33455967482901
"93","toy_example_3.RDa",2,1,2,3,7.3379590853256
"94","toy_example_3.RDa",2,1,2,4,7.31809396352786
"95","toy_example_3.RDa",2,1,2,5,7.32563417087341
"96","toy_example_3.RDa",2,1,2,6,7.32514789983898
"97","toy_example_3.RDa",2,1,2,7,7.32732130220487
"98","toy_example_3.RDa",2,1,2,8,7.33786722710151
"99","toy_example_3.RDa",2,1,2,9,7.32410633494472
"100","toy_example_3.RDa",2,1,2,10,7.3246360266558
"101","toy_example_3.RDa",2,2,1,1,7.32970405023494
"102","toy_example_3.RDa",2,2,1,2,7.33635798731609
"103","toy_example_3.RDa",2,2,1,3,7.34020193015339
"104","toy_example_3.RDa",2,2,1,4,7.33601956778059
"105","toy_example_3.RDa",2,2,1,5,7.33822992447153
"106","toy_example_3.RDa",2,2,1,6,7.32384193903764
"107","toy_example_3.RDa",2,2,1,7,7.32038109444112
