"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"164","article_0_1_1_0_0_263.RDa",4,0,0
"165","article_0_1_1_0_0_264.RDa",4,0,0
"166","article_0_1_1_0_0_265.RDa",4,0,0
"167","article_0_1_1_0_0_266.RDa",4,0,0
"168","article_0_1_1_0_0_267.RDa",4,0,0
"169","article_0_1_1_0_0_268.RDa",4,0,0
"170","article_0_1_1_0_0_269.RDa",4,0,0
"171","article_0_1_1_0_0_270.RDa",4,0,0
"172","article_0_1_1_0_0_271.RDa",4,0,0
"173","article_0_1_1_0_0_272.RDa",4,0,0
"174","article_0_1_1_0_0_273.RDa",4,0,0
"175","article_0_1_1_0_0_274.RDa",4,0,0
"176","article_0_1_1_0_0_275.RDa",4,0,0
"177","article_0_1_1_0_0_276.RDa",4,0,0
"178","article_0_1_1_0_0_277.RDa",4,0,0
"179","article_0_1_1_0_0_278.RDa",4,0,0
"180","article_0_1_1_0_0_279.RDa",4,0,0
"181","article_0_1_1_0_1_280.RDa",4,0,0
"182","article_0_1_1_0_1_281.RDa",4,0,0
"183","article_0_1_1_0_1_282.RDa",4,0,0
"184","article_0_1_1_0_1_283.RDa",4,0,0
"185","article_0_1_1_0_1_284.RDa",4,0,0
"186","article_0_1_1_0_1_285.RDa",4,0,0
"187","article_0_1_1_0_1_286.RDa",4,0,0
"188","article_0_1_1_0_1_287.RDa",4,0,0
"189","article_0_1_1_0_1_288.RDa",4,0,0
"190","article_0_1_1_0_1_289.RDa",4,0,0
"191","article_0_1_1_0_1_290.RDa",4,0,0
"192","article_0_1_1_0_1_291.RDa",4,0,0
"193","article_0_1_1_0_1_292.RDa",4,0,0
"194","article_0_1_1_0_1_293.RDa",4,0,0
"195","article_0_1_1_0_1_294.RDa",4,0,0
"196","article_0_1_1_0_1_295.RDa",4,0,0
"197","article_0_1_1_0_1_296.RDa",4,0,0
"198","article_0_1_1_0_1_297.RDa",4,0,0
"199","article_0_1_1_0_1_298.RDa",4,0,0
"200","article_0_1_1_0_1_299.RDa",4,0,0
"201","article_0_1_2_0_0_300.RDa",4,0,0
"202","article_0_1_2_0_0_301.RDa",4,0,0
"203","article_0_1_2_0_0_302.RDa",4,0,0
"204","article_0_1_2_0_0_303.RDa",4,0,0
"205","article_0_1_2_0_0_304.RDa",4,0,0
"206","article_0_1_2_0_0_305.RDa",4,0,0
"207","article_0_1_2_0_0_306.RDa",4,0,0
"208","article_0_1_2_0_0_307.RDa",4,0,0
"209","article_0_1_2_0_0_308.RDa",4,0,0
"210","article_0_1_2_0_0_309.RDa",4,0,0
"211","article_0_1_2_0_0_310.RDa",4,0,0
"212","article_0_1_2_0_0_311.RDa",4,0,0
"213","article_0_1_2_0_0_312.RDa",4,0,0
"214","article_0_1_2_0_0_313.RDa",4,0,0
"215","article_0_1_2_0_0_314.RDa",4,0,0
"216","article_0_1_2_0_0_315.RDa",4,0,0
"217","article_0_1_2_0_0_316.RDa",4,0,0
"218","article_0_1_2_0_0_317.RDa",4,0,0
"219","article_0_1_2_0_0_318.RDa",4,0,0
"220","article_0_1_2_0_0_319.RDa",4,0,0
"221","article_0_1_2_0_1_320.RDa",4,0,0
"222","article_0_1_2_0_1_321.RDa",4,0,0
"223","article_0_1_2_0_1_322.RDa",4,0,0
"224","article_0_1_2_0_1_323.RDa",4,0,0
"225","article_0_1_2_0_1_324.RDa",4,0,0
"226","article_0_1_2_0_1_325.RDa",4,0,0
"227","article_0_1_2_0_1_326.RDa",4,0,0
"228","article_0_1_2_0_1_327.RDa",4,0,0
"229","article_0_1_2_0_1_328.RDa",4,0,0
"230","article_0_1_2_0_1_329.RDa",4,0,0
"231","article_0_1_2_0_1_330.RDa",4,0,0
